link,title,headline,content
https://www.tvp.info/70074275/wspolne-konto-bankowe-malzonkow,"Mówi się, że pieniądze szczęścia nie dają. Przeczy temu jednak badanie, które zrobili naukowcy z Uniwersytetu Indiany. Wynika z niego,  że małżonkowie, którzy mają wspólne konto bankowe, rzadziej kłócą się o pieniądze, czują się pewniej w zarządzaniu domowym budżetem, są bardziej zaangażowani w realizację wspólnych celów i bardziej zadowoleni ze swojego związku.",Wspólne konto małżonków ma wpływ na ich związek. Naukowcy wyjaśnili jaki,"
Niedawne badanie zrealizowane przez naukowców z Kelley School of Business na Uniwersytecie Indiany nie było pierwsze, w którym próbowano sprawdzić związek między domowymi finansami a trwałością związku. Wcześniejsze prace na tem temat wykazywały, że wspólne zarządzanie rodzinnym budżetem ma wpływ na satysfakcję ze związku. Badaczom z Kelley School of Business udało się jednak jako pierwszym potwierdzić, że wspólne gospodarowanie budżetem cementuje małżeństwo i wykazać, dlaczego tak się dzieje. Wyniki ich pracy opublikowano w magazynie „Journal of Consumer Research”.Wspólne konto w małżeństwie. Dwa lata badańBadanie trwało dwa lata, wzięło w nim udział 230 par, które rozpoczynały wspólne życie – były zaręczone lub świeżo po ślubie. Średni wiek partnerów wynosił 28 lat. Około 36 proc z nich miało wyższe wykształcenie, a średni łączny dochód na parę wynosił 50 000 dolarów rocznie. Każda para znała się od około pięciu lat, a w związku była średnio od trzech lat. Dla wszystkich uczestników było to pierwsze małżeństwo, 10 proc. z nich miało dzieci.Małżeństwa podzielone na trzy grupy Na początku badania wszyscy mieli oddzielne konta bankowe. Podzielono ich na trzy grupy. Parom z jednej grupy badacze polecili, by nadal mieli osobne konta, tych z kolejnej poproszono o otwarcie wspólnego rachunku. Pary z trzeciej grupy mogły same zdecydować, co zrobią. Po dwóch latach naukowcy przy pomocy ankiet zbadali sytuację we wszystkich 230 parach. Okazało się, że te, które otrzymały polecenie otwarcia wspólnego konta, deklarowały wyższą jakość relacji niż te, które miały oddzielne konta. Na tej podstawie naukowcy doszli do wniosku, że wspólne zarządzanie pieniędzmi sprzyja porozumieniu w sprawie celów finansowych, większej przejrzystości i wspólnemu rozumieniu obowiązków małżeńskich. A co za tym idzie, wpływa na satysfakcję z relacji. 



  
Tworzenie relacji wspólnotowej Zależność ta była widoczna niezależnie od długości trwania związku. – Kiedy przeprowadziliśmy ankietę wśród osób o różnym stażu w związku, ci, którzy połączyli konta, deklarowali wyższy poziom wspólnoty w swoim małżeństwie w porównaniu z osobami, które miały oddzielne konta, a nawet tymi, którzy częściowo połączyli swoje finanse. Biorąc pod uwagę znaczące zmiany, jakie zaobserwowaliśmy w ciągu dwóch lat, jest to przekonujący dowód na korzyści płynące z połączenia finansów – powiedziała Jenny Olson z Kelley School of Business. Jej zdaniem wynika to z tego, że posiadanie wspólnego konta pomaga stworzyć relację wspólnotową. – Jest to relacja, w której partnerzy odpowiadają na swoje potrzeby, chcą sobie pomagać. Mówią: „Chcę ci pomóc, bo tego potrzebujesz. Nie rozliczam”. W tej relacji istnieje perspektywa „my” – tłumaczy badaczka.Jenny Olson dodaje też, że pary z oddzielnymi kontami postrzegają decyzje finansowe bardziej transakcyjnie. – Przy oddzielnych kontach częściej obserwujemy postawę „coś za coś”. To sposób myślenia: „Pomogę ci, bo później ty mi pomożesz”. Oddzielne konta sprzyjały też przekonaniu, że łatwiej jest opuścić związek. W ciągu tych dwóch lat, kiedy prowadziliśmy badanie, rozstało się 20 proc. par, w większości te z oddzielnymi kontami – stwierdziła badaczka z Kelley School of Business. 



 "
https://www.tvp.info/70037942/mieszkania-nie-stanieja-brakuje-ziemi,"O ok. 5 proc. w ciągu roku mogą zdrożeć nowe mieszkania. Stabilizacja cen byłaby możliwa, gdyby podaż dogoniła popyt. A na to się nie zanosi, bo brakuje gruntów, brakuje planów miejscowych, a procedury administracyjne się wydłużają – czytamy we wtorkowej „Rzeczpospolitej”. ",Mieszkania nie stanieją. Brakuje ziemi,"
„Siedem grzechów głównych, które hamują rozwój mieszkalnictwa, zidentyfikował Polski Związek Firm Deweloperskich (PZFD). To: nieżyciowe prawo i uznaniowość urzędnicza, długi czas wydawania pozwoleń, lęk urzędników przed podejmowaniem decyzji, brak ziemi i brak planów zagospodarowania, rosnące koszty inwestycji, przeciągające się uzgodnienia dotyczące przyłączeń dróg i mediów, wreszcie – blokowanie budów przez sąsiadów. Wszystko to sprawia, że mieszkań powstaje mniej, niż mogłoby powstać” – pisze „Rz”. Gazeta wskazuje, że według autorów raportu PZFD, liczba wybudowanych mieszkań w ostatnich latach sukcesywnie rosła – od ponad 50 tys. w 2013 r. do ponad 140 tys. w ub.r. „Kryzys gospodarczy, załamanie na rynku kredytów hipotecznych, niestabilność prawa i biurokracja sprawiły, że liczba nowych inwestycji dramatycznie spadła” – alarmuje cytowany w „Rz” PZFD. „Podaje, powołując się na dane GUS, że w 2021 r. deweloperzy rozpoczęli budowę 166 tys. mieszkań, w 2022 r. – 115 tys. W styczniu tego roku rozpoczęto budowę 5,8 tys. lokali – o ponad 20 proc. mniej niż w styczniu zeszłego roku” – czytamy. „Rzeczpospolita” zauważa, że prognozy nie są optymistyczne.„W całym 2023 r. deweloperzy rozpoczną budowę ok. 70-80 tys. mieszkań. Dla porównania – w zeszłym roku oddali do użytku 144 tys. mieszkań i domów – to 60 proc. wszystkich wybudowanych w tym czasie. Inwestorzy indywidualni wznieśli 91 tys. mieszkań i domów. Jedną z większych bolączek branży jest brak terenów pod osiedla. Działki, które są do wzięcia, nie zawsze są zlokalizowane tam, gdzie Polacy chcieliby mieszkać” – pisze. 



 "
https://www.tvp.info/70022715/meta-ukarana-rekordowa-grzywna-12-mld-euro-za-przesylanie-danych-europejskich-uzytkownikow-facebooka-do-usa,"Meta została ukarana rekordową grzywną 1,2 mld euro za przesyłanie danych europejskich użytkowników Facebooka na serwery USA, ogłosiła  Europejska Rada Ochrony Danych. To wynik dochodzenia w sprawie Facebooka przeprowadzonego przez irlandzką Komisję Ochrony Danych.",Meta ukarana rekordową grzywną za przesyłanie danych Europejczyków do USA,"
Grzywna jest najwyższą, jaką kiedykolwiek nałożono na podstawie europejskiego prawa dotyczącego prywatności danych, znanego jako Ogólne rozporządzenie o ochronie danych (RODO). Naruszenie Meta jest „bardzo poważne, ponieważ dotyczy przekazywania, które jest systematyczne, powtarzalne i ciągłe” – skomentowała decyzję Andrea Jelinek, przewodnicząca Europejskiej Rady Ochrony Danych. Bezprecedensowa kara – Facebook ma miliony użytkowników w Europie, więc ilość przesyłanych danych osobowych jest ogromna. Bezprecedensowa kara jest mocnym sygnałem dla organizacji, że poważne naruszenia mają daleko idące konsekwencje – dodała. Meta, która jest również właścicielem WhatsApp i Instagram, zapowiedziała odwołanie się od orzeczenia, w tym grzywny. Europejska Rada Ochrony Danych jest instytucją zapewniającą spójne stosowanie ogólnego rozporządzenia o ochronie danych RODO. W jej skład wchodzą przedstawiciele organów ochrony danych z 27 państw członkowskich UE i 3 państw Europejskiego Obszaru Gospodarczego oraz Europejskiego Inspektora Ochrony Danych.  



 "
https://www.tvp.info/70022328/wynagrodzenia-beda-rosnac-szybciej-niz-ceny-ekspert-pie-prognozuje-wzrost-sily-nabywczej-pensji,"Wynagrodzenia rosną w dwucyfrowym tempie – wynika z nowych danych Głównego Urzędu Statystycznego. Mimo to i mimo wyhamowania inflacji siła nabywcza pensji maleje – zauważa Sebastian Sajnóg z Polskiego Instytutu Ekonomicznego. Ekspert prognozuje, że ten niekorzystny trend odwróci się w drugiej połowie roku.  ",Inflacja a wynagrodzenie. Ekspert PIE prognozuje odwrócenie niekorzystnego trendu,"
Jak podał w poniedziałek Główny Urząd Statystyczny, przeciętne wynagrodzenie brutto w sektorze przedsiębiorstw w kwietniu 2023 r. wyniosło 7430,65 zł, co oznacza wzrost o 12,1 proc. rdr. Zatrudnienie w tym sektorze rdr wzrosło o 0,4 proc.  Czytaj więcej: Wynagrodzenia w górę. Najnowsze dane z polskiej gospodarki  Sebastian Sajnóg z Polskiego Instytutu Ekonomicznego zwrócił uwagę, że wzrost zatrudnienia spowolnił w kwietniu; w marcu było to 0,5 proc. – Równocześnie wynagrodzenia stale rosną w dwucyfrowym tempie, chociaż ich siła nabywcza wciąż maleje – wskazał.PIE przewiduje, że trend ten odwróci się w drugiej połowie roku wraz ze spadkiem inflacji.  Ekspert: Siła nabywcza pensji znów będzie rosnąć  Sajnóg zauważył, że liczba osób zatrudnionych jest teraz najwyższa od początku pomiarów.– Spowolnienie gospodarcze zahamuje przestrzeń do dalszych wzrostów. W kolejnych miesiącach zobaczymy stabilizację zatrudnienia na ubiegłorocznych poziomach – stwierdził. 



  
Dodał, że będzie to związane także z efektem bazy statystycznej: „w 2022 r. znacznie rosło zatrudnienie uchodźców z Ukrainy, podczas gdy obecnie obserwujemy jego spadek”.  Tempo wzrostu wynagrodzeń – jak zaznaczył analityk PIE – spowolniło w kwietniu z 12,6 proc. do 12,1 proc. – To kolejny miesiąc, kiedy wynagrodzenia rosną wolniej od inflacji – ta wyniosła 14,7 proc. – wskazał.  Zastrzegł, że różnica jest jednak coraz mniejsza.– Wraz z dalszym spadkiem inflacji w wakacje, wynagrodzenia będą rosnąć szybciej niż ceny. Oznacza to, że siła nabywcza pensji ponownie zacznie rosnąć – stwierdził.   W ocenie eksperta w kolejnych miesiącach wzrost wynagrodzeń prawdopodobnie będzie niższy. – NBP wskazuje, że podwyżki w horyzoncie kolejnych trzech miesięcy planuje wciąż 46,5 proc. przedsiębiorstw. Rok temu było to 48,1 proc. – przypomniał. Zobacz także: Furgalski zaatakował CPK. Teraz przeprasza i... zabrania komentować Według niego w rezultacie tempo wzrostu wynagrodzeń w kolejnych miesiącach oscylować będzie w okolicach 10 proc.  



 "
https://www.tvp.info/70017015/noclegi-we-wloszech-drozeja-najwyzsze-ceny-min-we-florencji-i-mediolanie,"400-500 euro sięgała cena jednego noclegu w wielu hotelach w Wenecji w przedostatni weekend maja, w dniach inauguracji Biennale Architektury. Rzadkością nie są ceny 700 euro za dobę. Także w innych włoskich miastach na progu sezonu wakacyjnego notuje się znaczy wzrost cen w hotelach; najwięcej we Florencji i Mediolanie – o około 40 proc.",Astronomiczne ceny noclegów we Włoszech. Alarmują obrońcy praw konsumentów,"
Alarm w sprawie tych podwyżek podnieśli obrońcy praw konsumentów z organizacji Assoutenti. Stowarzyszenie to ostrzegło, że „historyczne miasta i miejscowości nadmorskie przygotowują się na sezon letni podnosząc ceny w hotelach”.Ceny noclegów są „astronomiczne” – ocenił dziennik „Il Messaggero”.W komentarzach zauważa się, że podwyżki cen w turystyce i gastronomii, które są jedną z sił napędowych gospodarki Włoch, mogą wręcz doprowadzić do załamania tych sektorów w najważniejszym dla nich okresie.Według organizacji konsumenckiej ceny w hotelach w kraju wzrosły średnio o 18 proc. w porównaniu z zeszłym rokiem, znacznie powyżej inflacji wynoszącej ponad 8 proc. Najwięcej zdrożały noclegi we Florencji – o 43 proc.; w Mediolanie o 38 proc. W Wenecji i Palermo ceny wzrosły o 25 proc.Włochy: 5,5 mln osób żyje w absolutnym ubóstwieWśród nadmorskich miejscowości największe podwyżki, o ok. 20 proc., notuje się na Sardynii.„Obawiamy się, że to dopiero początek tego, co czeka Włochów tego lata” – oświadczyła organizacja Assoutenti. Jak zaznaczyła, może to oznaczać, że wiele rodzin skróci wakacje albo z nich zrezygnuje. 



 "
https://www.tvp.info/70000153/sztuczna-inteligencja-ai-mocno-wkracza-do-branzy-zarzadzania-ludzkimi-jest-tansza-i-szybsza,"Rewolucja AI wkracza do branży zarządzania zasobami ludzkimi (HR) coraz mocniej – wskazuje Przemysław Kadula, współtwórca oraz dyrektor zarządzający agencji rekrutacyjnej Talent Place, członek zarządu Polskiego Forum HR. Największym wyzwaniem – według Dominiki Olczak, ekspertki SoDA – jest zachowanie „człowiekocentryczności”. ","Taniej i szybciej, choć jest pewne „ale”. W tę branżę mocno wkracza sztuczna inteligencja","
Kadula zaznaczył, że na początku technologia AI (ang. artificial intelligence – AI – sztuczna inteligencja) będzie wspierać pracowników w wielu czynnościach, a tam, gdzie technologia przyniesie poprawę efektywności, całkowicie zastąpi człowieka.  Koniec rozmów rekrutacyjnych, jakie znamy?  Zauważył, że w branży rekrutacyjnej sztuczna inteligencja i automatyzacja pozwolą na szybsze docieranie do odpowiednich kandydatów, „przejmą pierwsze etapy preselekcji, komunikacji i screeningu kandydatów, oceni aplikacje i umówi odpowiednie osoby do kolejnego etapu”.  Ocenił, że efektem będzie znaczne obniżenie czasu trwania rekrutacji i jej kosztów. – Sami pracujemy nad aplikacją, która ma na celu łączenie, z wykorzystaniem AI i machine learningu, kandydatów z bazy tysięcy rekruterów z pracodawcami – dodał Kadula.  Wspomniał, że przy pisaniu CV najlepiej stosować podobne zasady jak w przypadku SEO (search engine optimization – proces optymalizacji w celu zwiększenia widoczności i ruchu z wyników wyszukiwania) oraz stron internetowych. – Najważniejsze staje się zawarcie odpowiednich nagłówków, fraz i słów kluczowych w CV – dodaje. Wspomniał, że najczęściej znajdują się one w ogłoszeniu o pracę w kategorii wiedza i umiejętności oraz w obowiązkach wymaganych na danym stanowisku.  CV lepsze po angielsku  – Algorytm zastosowany przez AI przeszuka CV, aby znaleźć dopasowania do słów kluczowych zawartych w opisie stanowiska – wyjaśnia. Dodaje, że istotna jest kwestia oznaczenia zaawansowania umiejętności i zdobytego doświadczenia. – Tutaj ważne jest wykorzystanie przysłówków lub przymiotników, zamiast graficznych symboli. (...) Bezpieczniejszą opcją jest również stworzenie CV w języku angielskim, ponieważ jeszcze nie wszystkie modele ML są w stanie analizować język polski – przekazał Kadula. #wieszwiecejPolub nasDominika Olczak, lider ds. zasobów ludzkich w firmie IT Inwedo oraz ekspertka Organizacji Pracodawców Usług IT SoDA (Software Development Association Poland) zwróciła uwagę, że najczęściej pojawiającym się argumentem przemawiającym za wykorzystywaniem sztucznej inteligencji w działaniach zespołów HR jest uwalnianie czasu, który poświęcamy na powtarzalne i czasochłonne zadania. 



  
– AI może zostać wykorzystana do analizy i selekcji napływających w procesach rekrutacyjnych CV. Może również mieć zastosowanie w chatbotach, które odpowiadają w czasie rzeczywistym na pytania kandydatów bądź kandydatek dotyczących procesu rekrutacyjnego – przekazała.  Jak na maturze – trzeba się „wpisać w klucz”  Zaznaczyła, że pojawiają się również narzędzia, które wykorzystują AI do generowania ogłoszeń o pracę lub spersonalizowanych wiadomości do kandydatów na LinkedIn. Zwróciła jednak uwagę, że wykorzystanie AI w rekrutacji niesie za sobą szereg zagrożeń. Całkowite powierzenie weryfikacji CV algorytmom AI powoduje, że osoby, które nie wpiszą się w klucz, zostaną automatycznie odrzucone w procesie.  – Stwarza to ryzyko pominięcia w rekrutacji osób mogących mieć wartościowe doświadczenie oraz kompetencje, które również będą cenne w danej roli. Sztuczna inteligencja nie jest gwarantem równości szans i wykluczenia dyskryminacji w procesach rekrutacyjnych – przekazała.  Zobacz także: Dane osobowe 2 milionów osób w publicznej chmurze. Toyota ma kłopot  



 "
https://www.tvp.info/69994504/piotr-wawrzyk-gazprom-nie-wywiazal-sie-ze-zobowiazan,"Wiceminister spraw zagranicznych Piotr Wawrzyk powiedział, że jeśli Gazprom nie wywiązał się ze zobowiązań, to Polska ma prawo dochodzić swoich roszczeń. W ten sposób skomentował wystąpienie Europol Gazu do arbitrażu w Sztokholmie z pozwem przeciwko Gazpromowi o zwrot 850 milionów złotych.",Piotr Wawrzyk: Gazprom nie wywiązał się ze zobowiązań wobec Polski,"
Piotr Wawrzyk, który był gościem programu „Minęła 20” w TVP Info, stwierdził, że ta sprawa udowadnia potrzebę powołania Państwowej Komisji do spraw badania wpływów rosyjskich na bezpieczeństwo wewnętrzne Rzeczpospolitej w latach 2007-2022.Kwota 850 milionów złotych dotyczy zaległych należności za przesył gazu – Gazprom w ubiegłym roku zaprzestał tranzytu gazu do Europy przez Polskę, na którym zarabiał Europol Gaz. CZYTAJ TAKŻE: Polska przejęła kontrolę nad aktywami Gazpromu w PolsceRosyjska spółka była zobowiązana przesyłać surowiec przynajmniej do 2045 roku, dlatego polskie przedsiębiorstwo poniosło znaczną stratę. Polska będzie domagała się zwrotu wszystkich utraconych korzyści. 



 "
https://www.tvp.info/69979799/jak-rozliczyc-skladke-zdrowotna-termin-mija-22-maja-doradca-podatkowy-komentuje,"W poniedziałek 22 maja kończy się termin rozliczenia rocznej składki zdrowotnej przez przedsiębiorców. W sobotę w kilkudziesięciu placówkach ZUS w całym kraju eksperci będą udzielać informacji osobom prowadzącym pozarolniczą działalność, które muszą dokonać rocznego rozliczenia składki za 2022 rok. ",Uwaga przedsiębiorcy. Mija termin rozliczenia składki zdrowotnej,"
Eksperci przypominają, że w związku ze zmianami w Polskim Ładzie, wprowadzonymi w lipcu ubiegłego roku, podatnicy rozliczający się na ryczałcie mieli możliwość zmiany formy opodatkowania i przejścia na skalę podatkową. Oznacza to, że teraz – przed wysłaniem rocznej deklaracji do ZUS – można wyliczyć składkę na innej podstawie, co wpłynie korzystnie na wysokość składki zdrowotnej.   Przedsiębiorcy mogą dostać zwrot różnicy pobranych składek  Kwoty pobranych zaliczek i faktycznej składki mogą się różnić i być korzystne dla przedsiębiorców – mówi doradca podatkowy Piotr Juszczyk. – Warto tu wrócić do stycznia 2022 roku. Jeśli w formularzu do ZUS zaznaczyliśmy, że rozliczamy się na podstawie przychodu z roku 2021 oraz gdy mieliśmy wtedy przychody powyżej 300 tysięcy złotych, to warto w dokumentach do ZUS wskazać obecnie rozliczenie na podstawie przychodu miesięcznego. W tym przypadku chodzi o styczeń 2022 – wyjaśnia ekspert.  Przedsiębiorcy, którzy w trakcie trwania roku podatkowego zmienili formę opodatkowania i przeszli ze skali podatkowej na ryczałt, co zmieniło wysokość składek zdrowotnych, przed złożeniem rocznej deklaracji do ZUS mogą ubiegać się o zwrot różnicy. Według specjalistów od księgowości, powinno się w takim przypadku wysłać do Zakładu Ubezpieczeń Społecznych odpowiedni wniosek.   W niektórych przypadkach różnica w składce może wynieść nawet kilkaset złotych. Uzależnione jest to oczywiście od osiągniętych przez danego przedsiębiorcę rocznych przychodów.  Składka zdrowotna. ZUS pomoże przy rozliczeniu  – W sobotę ZUS otworzy w całym kraju kilkadziesiąt placówek. W związku ze zbliżającym się terminem na dokonanie rozliczenia, eksperci ZUS będą udzielać wyjaśnień również w sobotę 20 maja w godzinach od 9:00 do 14:00. Lista otwartych placówek jest zamieszczona na stronie internetowej Zakładu. W sobotę będzie dostępna także specjalna infolinia w Centrum Obsługi Telefonicznej tel. 22 560 16 00 – przekazał rzecznik ZUS Paweł Żebrowski.  Jeśli z rozliczenia wychodzi nadpłata i płatnik nie ma zaległości w opłacaniu składek, to ZUS utworzy wniosek o zwrot nadpłaty na profilu płatnika na PUE ZUS. Będzie trzeba go zweryfikować, podpisać i odesłać przez PUE do 1 czerwca. ZUS przekaże nadpłatę na rachunek bankowy, który jest zapisany na koncie płatnika składek, najpóźniej do 1 sierpnia. Jeśli na koncie płatnika było zadłużenie, to nadpłata zostanie rozliczona na poczet zaległości. Jeśli z rozliczenia wynika niedopłata, należy uregulować różnicę w terminie płatności składki za kwiecień, czyli do 22 maja 2023 roku.  Zobacz także: Lepsze dane o PKB niż się spodziewano. Nie ma technicznej recesji  



 "
https://www.tvp.info/69974569/usa-niewielkie-spadki-akcji-na-wall-street-gielda,"Piątkowa sesja na Wall Street zakończyła się niewielkimi spadkami głównych indeksów. Inwestorzy z niepokojem przyjęli doniesienia, że negocjacje dotyczące pułapu zadłużenia w celu uniknięcia niewypłacalności Stanów Zjednoczonych zostały wstrzymane.",Niewielkie spadki na Wall Street. W USA wciąż negocjują budżet,"
Główni negocjatorzy przewodniczącego Izby Reprezentantów Kevina McCarthy'ego w sprawie podniesienia limitu zadłużenia nagle opuścili zamknięte spotkanie z przedstawicielami Białego Domu wkrótce po jego rozpoczęciu w piątek rano. Nie wiadomo, kiedy rozmowy zostaną wznowione.Czytaj także: Rosjanie są winni EuRoPol Gazowi majątek. Międzynarodowy arbitraż o 850 mln i 5 mld zł Prezydent USA Joe Biden oświadczył, że jest przekonany, iż amerykański Kongres osiągnie porozumienie budżetowe, pozwalające na zwiększenie limitu zadłużenia oraz uniknięcie katastrofalnej niewypłacalności długu Stanów Zjednoczonych. 



  
USA grozi katastrofa?Fiasko w osiągnięciu do 1 czerwca porozumienia w sprawie podniesienia pułapu zadłużenia rządu groziłoby bezprecedensową niewypłacalnością Ameryki i mogłoby prowadzić do katastrofy gospodarczej tego kraju.Perspektywa ta wywołała obawy przed recesją i wywołała pytania o globalny status amerykańskiego długu skarbowego, rynku o wartości 23 bln USD, który jest postrzegany jako źródło płynności o najniższym ryzyku dla firm, inwestorów i banków centralnych.Czytaj także: Kuba zachęca Rosję do inwestycji na wyspie– Niewypłacalność to zdarzenie o wysokim ryzyku, ale niskim prawdopodobieństwie. Amerykańskie obligacje skarbowe są uważane za wolne od ryzyka, więc myśl o tym, że mogą przestać takie być, wstrząsa rynkami – powiedział o pułapie zadłużenia Kevin Thozet, członek komitetu inwestycyjnego w europejskim funduszu zarządzającym Carmignac. 



 "
https://www.tvp.info/69963475/samochody-na-wodor-i-elektryki-jak-przyszlosc-motoryzacji,"Największą przeszkodą blokującą wejście wodorowych pojazdów do powszechnego użytku jest infrastruktura. I gdy tylko stacje tankowania wodoru pojawią się w Polsce, rozwój wodorowej motoryzacji znacznie przyspieszy – przekonywał podczas kongresu H2POLAND Cezary Kaczmarczyk, dyrektor regionalny Toyota Central Europe.

",Jesteśmy skazani na „elektryki”? Jest „wodorowa alternatywa” [WIDEO],"
– Toyota produkuje seryjnie samochód wodorowy od ośmiu lat. W tej chwili mamy już pewność, że jest to mechanizm dobrze funkcjonujący i może być atrakcyjną ofertą dla firm i klientów indywidualnych – przekonywał Cezary Kaczmarczyk.Wodorowa alternatywaŚrodkowoeuropejskie Forum Technologii Wodorowych H2POLAND jest odpowiedzią na potrzebę popularyzowania wiedzy dotyczącej technologii nisko- i zeroemisyjnych. Wydarzenie jest platformą wymiany informacji i doświadczeń pomiędzy przedsiębiorcami, naukowcami i przedstawicielami administracji publicznej. Istotnym elementem konferencji jest ekspozycja najnowszych rozwiązań poświęconych nisko i zeroemisyjnej gospodarce. 



 "
