,link,title,lead
0,https://www.tvp.info/70074275/wspolne-konto-bankowe-malzonkow,"Mówi się, że pieniądze szczęścia nie dają. Przeczy temu jednak badanie, które zrobili naukowcy z Uniwersytetu Indiany. Wynika z niego,  że małżonkowie, którzy mają wspólne konto bankowe, rzadziej kłócą się o pieniądze, czują się pewniej w zarządzaniu domowym budżetem, są bardziej zaangażowani w realizację wspólnych celów i bardziej zadowoleni ze swojego związku.",Wspólne konto małżonków ma wpływ na ich związek. Naukowcy wyjaśnili jaki
1,https://www.tvp.info/70037942/mieszkania-nie-stanieja-brakuje-ziemi,"O ok. 5 proc. w ciągu roku mogą zdrożeć nowe mieszkania. Stabilizacja cen byłaby możliwa, gdyby podaż dogoniła popyt. A na to się nie zanosi, bo brakuje gruntów, brakuje planów miejscowych, a procedury administracyjne się wydłużają – czytamy we wtorkowej „Rzeczpospolitej”. ",Mieszkania nie stanieją. Brakuje ziemi
2,https://www.tvp.info/70022715/meta-ukarana-rekordowa-grzywna-12-mld-euro-za-przesylanie-danych-europejskich-uzytkownikow-facebooka-do-usa,"Meta została ukarana rekordową grzywną 1,2 mld euro za przesyłanie danych europejskich użytkowników Facebooka na serwery USA, ogłosiła  Europejska Rada Ochrony Danych. To wynik dochodzenia w sprawie Facebooka przeprowadzonego przez irlandzką Komisję Ochrony Danych.",Meta ukarana rekordową grzywną za przesyłanie danych Europejczyków do USA
3,https://www.tvp.info/70022328/wynagrodzenia-beda-rosnac-szybciej-niz-ceny-ekspert-pie-prognozuje-wzrost-sily-nabywczej-pensji,"Wynagrodzenia rosną w dwucyfrowym tempie – wynika z nowych danych Głównego Urzędu Statystycznego. Mimo to i mimo wyhamowania inflacji siła nabywcza pensji maleje – zauważa Sebastian Sajnóg z Polskiego Instytutu Ekonomicznego. Ekspert prognozuje, że ten niekorzystny trend odwróci się w drugiej połowie roku.  ",Inflacja a wynagrodzenie. Ekspert PIE prognozuje odwrócenie niekorzystnego trendu
4,https://www.tvp.info/70017015/noclegi-we-wloszech-drozeja-najwyzsze-ceny-min-we-florencji-i-mediolanie,"400-500 euro sięgała cena jednego noclegu w wielu hotelach w Wenecji w przedostatni weekend maja, w dniach inauguracji Biennale Architektury. Rzadkością nie są ceny 700 euro za dobę. Także w innych włoskich miastach na progu sezonu wakacyjnego notuje się znaczy wzrost cen w hotelach; najwięcej we Florencji i Mediolanie – o około 40 proc.",Astronomiczne ceny noclegów we Włoszech. Alarmują obrońcy praw konsumentów
5,https://www.tvp.info/70000153/sztuczna-inteligencja-ai-mocno-wkracza-do-branzy-zarzadzania-ludzkimi-jest-tansza-i-szybsza,"Rewolucja AI wkracza do branży zarządzania zasobami ludzkimi (HR) coraz mocniej – wskazuje Przemysław Kadula, współtwórca oraz dyrektor zarządzający agencji rekrutacyjnej Talent Place, członek zarządu Polskiego Forum HR. Największym wyzwaniem – według Dominiki Olczak, ekspertki SoDA – jest zachowanie „człowiekocentryczności”. ","Taniej i szybciej, choć jest pewne „ale”. W tę branżę mocno wkracza sztuczna inteligencja"
6,https://www.tvp.info/69994504/piotr-wawrzyk-gazprom-nie-wywiazal-sie-ze-zobowiazan,"Wiceminister spraw zagranicznych Piotr Wawrzyk powiedział, że jeśli Gazprom nie wywiązał się ze zobowiązań, to Polska ma prawo dochodzić swoich roszczeń. W ten sposób skomentował wystąpienie Europol Gazu do arbitrażu w Sztokholmie z pozwem przeciwko Gazpromowi o zwrot 850 milionów złotych.",Piotr Wawrzyk: Gazprom nie wywiązał się ze zobowiązań wobec Polski
7,https://www.tvp.info/69979799/jak-rozliczyc-skladke-zdrowotna-termin-mija-22-maja-doradca-podatkowy-komentuje,"W poniedziałek 22 maja kończy się termin rozliczenia rocznej składki zdrowotnej przez przedsiębiorców. W sobotę w kilkudziesięciu placówkach ZUS w całym kraju eksperci będą udzielać informacji osobom prowadzącym pozarolniczą działalność, które muszą dokonać rocznego rozliczenia składki za 2022 rok. ",Uwaga przedsiębiorcy. Mija termin rozliczenia składki zdrowotnej
8,https://www.tvp.info/69974569/usa-niewielkie-spadki-akcji-na-wall-street-gielda,"Piątkowa sesja na Wall Street zakończyła się niewielkimi spadkami głównych indeksów. Inwestorzy z niepokojem przyjęli doniesienia, że negocjacje dotyczące pułapu zadłużenia w celu uniknięcia niewypłacalności Stanów Zjednoczonych zostały wstrzymane.",Niewielkie spadki na Wall Street. W USA wciąż negocjują budżet
9,https://www.tvp.info/69963475/samochody-na-wodor-i-elektryki-jak-przyszlosc-motoryzacji,"Największą przeszkodą blokującą wejście wodorowych pojazdów do powszechnego użytku jest infrastruktura. I gdy tylko stacje tankowania wodoru pojawią się w Polsce, rozwój wodorowej motoryzacji znacznie przyspieszy – przekonywał podczas kongresu H2POLAND Cezary Kaczmarczyk, dyrektor regionalny Toyota Central Europe.

",Jesteśmy skazani na „elektryki”? Jest „wodorowa alternatywa” [WIDEO]
